hagrid,temperature,metabolic_rate,body_mass
2214,308.35,0.828,450
2217,309.45,2.816,721.2
2219,308.35,1.937,822.7
2220,307.15,2.434,1213.5
2221,306.95,0.845,398.5
2222,307.35,0.63,451.5
2225,309.85,3.872,1604.4
2226,310.15,4.954,2458
2227,NULL,2.145,432
2229,312.95,6.708,1603.4
2231,312.35,7.314,2300
2233,311.45,NULL,NULL
2234,312.85,8.443,3014.5
2235,311.35,7.698,2523.2
2236,312.15,7.395,2167.9
2237,311.45,2.506,686.9
2245,313.25,0.932,109
2247,310.65,0.244,45.3
2248,310.75,0.303,49.9
2249,310.35,0.29,46.5
2250,310.25,0.288,49
2251,310.45,0.317,53
2252,309.35,0.292,39
2253,310.65,0.852,208
2256,308.3,NULL,NULL
2257,307.15,1.931,1030.3
2258,303.85,2.327,2909
2259,303.95,6.493,11848.6
2261,308.15,NULL,NULL
2262,308.05,2.255,886.6
2263,306.95,0.837,428
2264,309.05,3.202,1551
2265,307.05,1.238,717
2267,308.35,1.902,695
2268,309.25,1.763,645
2270,308.15,2.4,1245.5
2271,NULL,164.92,177500
2272,311.45,NULL,NULL
2280,312.15,NULL,NULL
2282,310.55,NULL,NULL
2283,309.95,NULL,NULL
2286,309.65,NULL,NULL
2287,306.55,6.923,15910
2288,306.55,3.727,3637.5
2291,306.15,0.636,240
2293,307.55,3.891,4005.2
2294,305.65,14.543,30600
2295,305.15,5.124,3884.2
2296,306.65,5.015,3500
2300,311.15,2.499,914.5
2304,309.15,11.464,4670
2316,309.15,NULL,NULL
2318,309.15,0.848,190
2321,308.35,0.599,110.7
2330,NULL,1.305,225
2343,311.15,4.429,836.7
2358,310.65,19.276,8648.7
2365,309.95,NULL,NULL
2367,310.15,17.037,10623.6
2369,312.45,5.958,3000
2373,310.75,NULL,NULL
2376,310.45,NULL,NULL
2390,311.15,21.095,12670.8
2409,311.15,1.088,300
2415,NULL,1.205,261.5
2416,NULL,0.285,170
2417,311.05,0.764,171.5
2418,NULL,0.372,62.4
2419,309.75,2.595,993.5
2420,309.15,3.927,1314
2423,308.65,NULL,NULL
2424,310.15,82.78,70000
2426,308.85,NULL,NULL
2440,309.15,3.738,3350
2442,309.65,4.239,2374.1
2454,309.15,0.731,206
2455,308.65,0.714,284
2456,308.55,1.504,1128.6
2458,309.25,1.942,968.6
2470,306.95,0.43,113
2472,309.15,0.831,173
2473,308.95,2336.5,3672000
2474,309.35,NULL,NULL
2476,311.15,1.892,706.8
2478,308.35,0.418,131.3
2479,307.55,0.35,78.9
2480,307.15,NULL,NULL
2481,309.55,0.637,193
2482,308.25,0.43,88.5
2483,305.25,0.128,35.3
2486,308.85,3.375,2630
2487,309.15,4.11,2456
2488,309.15,1.483,775
2493,312.15,2.13,639.1
2496,310.45,1.473,322
2498,310.25,36.754,26385
2499,311.35,2.011,801
2500,307.85,1.31,436.7
2503,309.95,10.623,6794
2504,NULL,0.675,37.7
2507,310.65,0.613,94.7
2508,309.15,0.095,7.2
2509,310.05,NULL,NULL
2510,312.65,1.251,365.3
2511,311.55,0.459,56.8
2514,309.55,0.167,17.5
2517,NULL,0.428,40.2
2518,310.95,1.071,80
2520,311.25,0.69,108.2
2522,310.75,0.367,25
2523,310.15,0.343,21.9
2525,311.45,0.447,43.8
2526,311.15,0.383,32.5
2527,311.05,0.41,48.2
2528,311.55,0.566,32.8
2529,311.65,0.428,38.2
2530,311.45,0.305,24.8
2531,311.85,0.701,64.5
2532,310.95,0.276,17.8
2533,NULL,0.312,21.5
2534,NULL,0.321,27.2
2535,312.15,0.522,26.4
2536,309.15,0.735,177.6
2537,NULL,1.152,256.5
2539,309.95,0.46,112.5
2542,309.55,0.151,19.5
2543,310.55,4.363,976.3
2545,309.15,0.165,19.1
2546,309.55,0.267,47
2547,308.85,0.162,20.5
2548,309.75,0.173,21
2550,309.85,0.213,22.3
2551,309.75,0.219,20.5
2552,NULL,0.12,12
2553,309.85,0.307,33.1
2554,311.05,0.375,21.5
2557,309.25,0.313,31.3
2558,309.35,0.333,47
2559,NULL,0.288,30.8
2560,NULL,0.428,78.7
2562,309.95,0.13,9
2564,310.75,0.174,12
2565,311.25,1.085,159.6
2573,309.25,0.611,121
2574,310.35,15.323,9156
2576,310.65,10.521,3849
2579,311.45,8.694,2687
2584,308.55,2.804,914
2590,310.65,0.515,75
2591,310.15,0.775,139
2592,310.15,0.22,21.8
2593,309.15,0.179,10
2594,NULL,0.219,26.1
2601,311.05,1.75,498
2602,310.75,1.153,323
2603,309.85,5.123,3280
2604,309.15,13.675,6871
2608,308.15,0.769,197
2610,309.15,0.67,143
2612,309.35,0.679,97.6
2617,310.85,0.664,174.4
2618,NULL,0.225,38.4
2620,NULL,0.351,23.5
2621,305.75,0.15,19.6
2622,NULL,0.103,15.1
2624,310.15,0.355,60.6
2625,309.95,0.517,105.8
2626,NULL,0.408,63.3
2627,310.15,0.246,37.6
2628,NULL,0.204,37.8
2629,307.75,0.339,47.8
2632,305.95,0.168,11
2635,307.75,0.097,8.3
2636,307.85,0.061,8.5
2638,NULL,0.16,19.2
2641,310.65,13.175,11300
2648,310.65,0.258,42
2651,310.45,0.24,55.4
2653,NULL,0.373,21.2
2655,309.85,0.365,28.3
2658,309.85,0.264,23.8
2662,309.05,0.908,213.2
2665,309.05,0.49,71.9
2667,307.15,1.016,106.5
2669,310.35,0.237,29.7
2670,311.95,0.129,29.7
2671,NULL,0.261,56.3
2672,309.25,0.454,108.5
2674,309.75,2.97,900
2686,311.35,0.546,64.8
2690,309.95,0.292,62.6
2691,311.15,0.201,7.6
2695,309.45,0.129,8
2697,310.05,0.271,18
2699,311.15,0.252,32.3
2702,310.75,0.474,102
2715,310.65,0.471,76
2716,309.85,0.353,109
2717,310.25,1.404,206.9
2718,311.15,0.77,117
2719,310.15,0.179,39.6
2721,310.65,0.274,63.6
2723,309.15,0.422,86.9
2725,309.85,0.487,132.4
2731,307.75,NULL,NULL
2733,308.75,6.024,1686.7
2737,306.15,0.707,93.8
2738,308.45,0.274,68.1
2739,307.25,0.105,37.5
2740,310.75,0.958,199.6
2741,310.35,0.715,154.1
2742,309.65,0.561,126.2
2743,309.05,4.427,2300
2747,310.65,0.511,94.1
2756,309.45,0.967,249.6
2757,NULL,0.849,256.6
2759,NULL,2.358,1112.3
2763,NULL,0.58,63
2764,312.45,0.533,112.3
2768,312.15,0.414,67.4
2769,309.15,0.744,230
2770,308.85,0.983,198.4
2774,309.65,8.626,4295
2776,310.15,3.696,2650
2779,312.25,0.811,223.6
2786,NULL,2.19,607
2793,313.85,2.402,624
2796,311.85,2.062,440
2806,310.65,1.272,240
2811,310.15,0.5,55.7
2813,310.15,0.349,49.3
2818,311.35,0.813,89.6
2820,311.85,1.615,219.6
2822,308.65,0.796,293.7
2823,308.58,0.788,266.3
2824,310.15,0.629,240
2825,309.45,0.501,125.1
2827,309.95,1.775,528.5
2828,309.15,0.96,344
2830,308.7,0.585,133.8
2831,309.05,0.856,197
2833,308.85,0.24,57.5
2834,311.95,NULL,NULL
2835,310.15,0.522,123
2838,309.15,1.25,260.6
2839,306.15,NULL,NULL
2840,NULL,55.015,167594
2841,NULL,70.0056,450000
2844,NULL,0.344,20.9
2846,NULL,0.248,33.2
2847,308.15,0.166,11.7
2848,307.85,0.143,10.8
2849,308.25,0.112,6.9
2850,310.15,0.164,6.3
2851,308.95,NULL,NULL
2852,308.15,0.373,13.1
2853,310.45,0.328,16
2854,311.75,0.267,7.8
2855,308.15,0.348,8.4
2858,311.55,0.238,5.2
2859,310.75,0.29,9.1
2861,311.65,0.179,4.1
2863,NULL,0.292,9.7
2864,311.75,NULL,NULL
2866,311.15,0.157,5.2
2867,309.15,0.063,2.4
2868,311.85,0.403,39.7
2869,310.85,0.615,49
2873,309.15,0.378,48
2875,307.65,34.275,48000
2877,295.31,0.1539,1079
2898,295.5,0.0605,430
2922,295.5,0.0132,31.5
2927,293,0.3589,3532
3006,290.25,0.0295,94.2
3141,305.5,0.0441,69.5
3152,293.83,0.00337,15.7
3176,303,1.2661,12370
3178,297.5,2.7349,32000
3194,300.5,0.0206,30
3200,303,0.2127,493
3206,304.25,0.017,18
3322,289.5,0.0236,400
3336,297.15,0.140702,720
3345,297,0.1157,240
3403,300,0.579,5500
