id_biblio,pubmed,title,url,author,publisher,year,journal,volume,pages,editor,book_title,review
122,1228338,A histochemical and ultrastructural study of lipofuscin accumulation in thyroid follicular cells of aging domestic cats,NULL,Ives et al.,NULL,1975,Mech Ageing Dev,4,399-413,NULL,NULL,0
123,879588,Kidney in the aging cat: neutral lipid and adenyl cyclase histochemistry,NULL,Kaler and Haensly,NULL,1977,Am J Vet Res,38,897-901,NULL,NULL,0
124,2996926,Aging of motoneurons and synaptic processes in the cat,NULL,Chase et al.,NULL,1985,Exp Neurol,90,471-478,NULL,NULL,0
125,7867958,Aging of a class of arteries in various mammalian species in relation to the life span,NULL,Tracy and Johnson,NULL,1994,Gerontology,40,291-297,NULL,NULL,0
126,2565574,Early social status and the development of life-history strategies in Atlantic salmon,NULL,Metcalfe et al.,NULL,1989,Proc R Soc Lond B Biol Sci,236,Jul-19,NULL,NULL,0
127,1336023,"Changes in ligand binding to GABAA receptor sites in pacific salmon (Oncorhynchus) brain during spawning migration and ""aging""",NULL,Erdo et al.,NULL,1992,J Hirnforsch,33,467-469,NULL,NULL,0
128,10708675,"Distribution of beta-amyloid and amyloid precursor protein in the brain of spawning (senescent) salmon: a natural, brain-aging model",NULL,Maldonado et al.,NULL,2000,Brain Res,858,237-251,NULL,NULL,0
129,15058436,Adaptive variation in senescence: reproductive lifespan in a wild salmon population,NULL,Hendry et al.,NULL,2004,Proc Biol Sci,271,259-266,NULL,NULL,0
130,12816637,"Sexual conflicts in spotted hyenas: male and female mating tactics and their reproductive outcome with respect to age, social status and tenure",NULL,East et al.,NULL,2003,Proc Biol Sci,270,1247-1254,NULL,NULL,0
131,8397327,"Changes in superoxide radical formation, lipid peroxidation, membrane fluidity and cathepsin B activity in aging and spawning male Chinook salmon (Oncorhynchus tschawytscha)",NULL,Sawada et al.,NULL,1993,Mech Ageing Dev,69,137-147,NULL,NULL,0
132,12360580,Timing of neurodegeneration and beta-amyloid (Abeta) peptide deposition in the brain of aging kokanee salmon,NULL,Maldonado et al.,NULL,2002,J Neurobiol,53,21-35,NULL,NULL,0
133,12056761,Ontogeny and occurrence of the corpus fibulae in the domesticated goat (Capra aegagrus f. hircus),NULL,Boos and Bartels,NULL,2002,Ann Anat,184,289-293,NULL,NULL,0
134,6946449,Evidence for a relationship between longevity of mammalian species and life spans of normal fibroblasts in vitro and erythrocytes in vivo,NULL,Rohme,NULL,1981,Proc Natl Acad Sci U S A,78,5009-5013,NULL,NULL,0
135,14615028,Differential effects of aging on the distribution of calcium-binding proteins in a pretectal nucleus of the chicken brain,NULL,Santana et al.,NULL,2003,J Chem Neuroanat,26,195-208,NULL,NULL,0
136,12855282,Reproductive aging in female birds,NULL,Holmes et al.,NULL,2003,Exp Gerontol,38,751-756,NULL,NULL,0
137,10719279,Aging-induced osteopenia in avian cortical bone,NULL,Srinivasan et al.,NULL,2000,Bone,26,361-365,NULL,NULL,0
138,10375460,Fertility decline in aging roosters is related to increased testicular and plasma levels of estradiol,NULL,Weil et al.,NULL,1999,Gen Comp Endocrinol,115,23-28,NULL,NULL,0
139,2290356,The accumulation of oxidized isoforms of chicken triosephosphate isomerase during aging and development,NULL,Gracy et al.,NULL,1990,Mech Ageing Dev,56,179-186,NULL,NULL,0
140,15247079,Functional aging and gradual senescence in zebrafish,NULL,Kishi,NULL,2004,Ann N Y Acad Sci,1019,521-526,NULL,NULL,1
141,12814804,Characterization of the heat shock response in mature zebrafish (Danio rerio),NULL,Murtha and Keller,NULL,2003,Exp Gerontol,38,683-691,NULL,NULL,0
143,9651651,Topographical localization of iron in brains of the aged fat-tailed dwarf lemur (Cheirogaleus medius) and gray lesser mouse lemur (Microcebus murinus),NULL,Gilissen et al.,NULL,1998,Am J Primatol,45,291-299,NULL,NULL,0
144,10466576,Topographical localization of lipofuscin pigment in the brain of the aged fat-tailed dwarf lemur (Cheirogaleus medius) and grey lesser mouse lemur (Microcebus murinus): comparison to iron localization,NULL,Gilissen et al.,NULL,1999,Am J Primatol,49,183-193,NULL,NULL,0
145,10639142,Heritability of fitness in a wild mammal population,NULL,Kruuk et al.,NULL,2000,Proc Natl Acad Sci U S A,97,698-703,NULL,NULL,0
146,11058435,Role of ovarian failure in reproductive senescence in aged red deer (Cervus elaphus) hinds,NULL,Fisher et al.,NULL,2000,J Reprod Fertil,120,211-216,NULL,NULL,0
147,12721823,Decelerating and sex-dependent tooth wear in Norwegian red deer,NULL,Loe et al.,NULL,2003,Oecologia,135,346-353,NULL,NULL,0
148,4526202,Correlation between deoxyribonucleic acid excision-repair and life-span in a number of mammalian species,NULL,Hart and Setlow,NULL,1974,Proc Natl Acad Sci U S A,71,2169-2173,NULL,NULL,0
149,15247036,Age-related endocrine dysfunction in nonhuman primates,NULL,Goncharova and Lapin,NULL,2004,Ann N Y Acad Sci,1019,321-325,NULL,NULL,0
150,14724064,The effect of aging on the immunohistochemistry of apolipoprotein E in the liver,NULL,Hilmer et al.,NULL,2004,Exp Gerontol,39,53-57,NULL,NULL,0
151,14580863,Hepatic sinusoidal pseudocapillarization with aging in the non-human primate,NULL,Cogger et al.,NULL,2003,Exp Gerontol,38,1101-1107,NULL,NULL,0
152,14580861,Dehydroepiandrosterone-sulfate as a biomarker of senescence in male non-human primates,NULL,Muehlenbein et al.,NULL,2003,Exp Gerontol,38,1077-1085,NULL,NULL,0
153,14499490,Variation in menstrual cycle length and cessation of menstruation in captive raised baboons,NULL,Martin et al.,NULL,2003,Mech Ageing Dev,124,865-871,NULL,NULL,0
154,12965919,Lymphocyte modulation in a baboon model of immunosenescence,NULL,Jayashankar et al.,NULL,2003,Clin Diagn Lab Immunol,10,870-875,NULL,NULL,0
155,12554806,Telomere shortening in leukocyte subpopulations from baboons,NULL,Baerlocher et al.,NULL,2003,J Leukoc Biol,73,289-296,NULL,NULL,0
156,12368664,Brain glucose hypometabolism after perirhinal lesions in baboons: implications for Alzheimer disease and aging,NULL,Millien et al.,NULL,2002,J Cereb Blood Flow Metab,22,1248-1261,NULL,NULL,0
157,12044968,Effects of aging on hypothalamic-pituitary-adrenal system function in non-human primates,NULL,Goncharova and Lapin,NULL,2002,Mech Ageing Dev,123,1191-1201,NULL,NULL,0
158,11298120,Age-related autoantibody production in a nonhuman primate model,NULL,Attanasio et al.,NULL,2001,Clin Exp Immunol,123,361-365,NULL,NULL,0
159,11124441,Age-related progression of tau pathology in brains of baboons,NULL,Schultz et al.,NULL,2000,Neurobiol Aging,21,905-912,NULL,NULL,0
160,10870672,Changes of hormonal function of the adrenal and gonadal glands in baboons of different age groups,NULL,Goncharova and Lapin,NULL,2000,J Med Primatol,29,26-35,NULL,NULL,0
161,10744034,"Filamentous tau pathology in nerve cells, astrocytes, and oligodendrocytes of aged baboons",NULL,Schultz et al.,NULL,2000,J Neuropathol Exp Neurol,59,39-52,NULL,NULL,0
162,9572138,Reproductive cessation in female mammals,NULL,Packer et al.,NULL,1998,Nature,392,807-811,NULL,NULL,0
163,7563008,A baboon (Papio hamadryas) model of insulin-dependent diabetes,NULL,Heffernan et al.,NULL,1995,J Med Primatol,24,29-34,NULL,NULL,0
164,8055696,The effects of age on glutathione peroxidase and glutathione reductase activities in lenses of Old World simians and prosimians,NULL,Holleschau and Rathbun,NULL,1994,Curr Eye Res,13,331-336,NULL,NULL,0
165,8366259,Senescent decline in serum dehydroepiandrosterone sulfate concentrations in a population of wild baboons,NULL,Sapolsky et al.,NULL,1993,J Gerontol,48,B196-B200,NULL,NULL,0
166,1606375,Age-related disk degeneration: preliminary report of a naturally occurring baboon model,NULL,Lauerman et al.,NULL,1992,J Spinal Disord,5,170-174,NULL,NULL,0
167,14521910,Age-related changes of Alzheimer's disease-associated proteins in cynomolgus monkey brains,NULL,Kimura et al.,NULL,2003,Biochem Biophys Res Commun,310,303-311,NULL,NULL,0
168,12743015,Aging increases aortic MMP-2 activity and angiotensin II in nonhuman primates,NULL,Wang et al.,NULL,2003,Hypertension,41,1308-1316,NULL,NULL,0
169,11730699,Age-related changes in the localization of presenilin-1 in cynomolgus monkey brain,NULL,Kimura et al.,NULL,2001,Brain Res,922,30-41,NULL,NULL,0
170,9816491,Age-related changes in major lymphocyte subsets in cynomolgus monkeys,NULL,Nam et al.,NULL,1998,Exp Anim,47,159-166,NULL,NULL,0
171,9390777,"Aging, dominance history, and social behavior in Java-monkeys (Macaca fascicularis)",NULL,Veenema et al.,NULL,1997,Neurobiol Aging,18,509-515,NULL,NULL,0
172,9008653,A study of caloric restriction and cardiovascular aging in cynomolgus monkeys (Macaca fascicularis): a potential model for aging research,NULL,Cefalu et al.,NULL,1997,J Gerontol A Biol Sci Med Sci,52,B10-B19,NULL,NULL,0
173,6253311,Aging of collagen: comparative rates in four mammalian species,NULL,Hamlin et al.,NULL,1980,Exp Gerontol,15,393-398,NULL,NULL,0
