id_refs,hagrid,id_biblio
937,326,444
938,326,445
939,326,820
940,327,427
941,327,445
942,328,577
943,328,425
944,328,444
945,328,445
946,329,444
947,329,445
948,330,445
949,330,427
950,331,427
951,331,445
952,331,820
953,332,444
954,332,445
955,332,732
956,333,1
957,333,820
958,334,2
959,334,62
960,334,444
961,334,445
962,335,425
963,335,427
964,335,444
965,335,445
966,335,732
967,336,427
968,336,425
969,336,444
970,336,445
971,337,425
972,337,444
973,337,820
974,337,427
975,337,977
976,338,1
977,338,435
978,338,438
979,338,732
980,339,575
981,339,820
982,340,972
983,341,575
984,341,820
985,342,1
986,342,820
987,343,729
988,343,820
989,344,445
990,345,450
991,345,729
992,345,820
993,346,450
994,346,820
995,347,444
996,347,445
997,348,435
998,348,444
999,348,445
1000,348,820
1001,348,427
1002,349,1
1003,349,425
1004,349,444
1005,349,445
1006,350,575
1007,350,820
1008,351,1142
1009,351,820
1010,352,575
1011,352,820
1012,353,1
1013,353,317
1014,353,1142
1015,354,427
1016,354,444
1017,354,732
1018,354,445
1019,355,427
1020,355,444
1021,355,445
1022,355,732
1023,356,427
1024,356,445
1025,357,444
1026,357,445
1027,357,450
1028,357,729
1029,357,732
1030,357,820
1031,358,818
1032,358,427
1033,359,444
1034,359,732
1035,359,445
1036,359,427
1037,360,450
1038,360,444
1039,360,729
1040,360,445
1041,361,427
1042,361,444
1043,361,732
1044,361,445
1045,362,450
1046,362,444
1047,362,729
1048,362,732
1049,362,445
1050,362,1143
1051,363,427
1052,363,820
1053,363,977
1054,364,444
1055,364,445
1056,365,1
1057,365,445
1058,366,435
1059,366,444
1060,366,445
1061,366,450
1062,366,729
1063,366,732
1064,366,820
1065,366,1143
1066,367,427
1067,367,435
1068,367,444
1069,367,732
1070,367,445
1071,367,820
1072,367,1130
1073,368,450
1074,368,732
1075,368,820
1076,369,450
1077,369,444
1078,369,729
1079,369,445
1080,370,450
1081,370,510
1082,370,729
1083,370,820
1084,370,732
1085,371,450
1086,371,729
1087,371,820
1088,371,732
1089,372,576
1090,372,440
1091,372,444
1092,372,732
1093,372,445
1094,373,445
1095,374,450
1096,374,820
1097,375,427
1098,375,444
1099,375,445
1100,376,576
1101,376,444
1102,376,445
1103,377,450
1104,377,729
1105,377,820
1106,377,732
1107,378,537
1108,378,444
1109,378,445
1110,378,427
1111,379,427
1112,379,820
1113,379,977
1114,380,450
1115,380,444
1116,380,729
1117,380,445
1118,381,986
1119,382,450
1120,382,820
1121,383,2
1122,383,436
1123,383,444
1124,383,450
1125,383,729
1126,383,732
1127,383,820
1128,384,444
1129,384,445
1130,385,435
1131,385,444
1132,385,450
1133,385,729
1134,385,732
1135,386,1
1136,386,444
1137,386,445
1138,387,445
1139,387,732
1140,387,818
1141,388,818
1142,388,425
1143,388,444
1144,388,732
1145,388,445
1146,388,820
1147,389,444
1148,389,445
1149,389,450
1150,389,729
1151,389,732
1152,390,450
1153,390,729
1154,390,820
1155,391,444
1156,391,729
1157,391,732
1158,391,856
1159,391,1143
1160,392,444
1161,392,820
1162,392,729
1163,392,445
1164,392,1
1165,393,425
1166,393,732
1167,393,445
1168,393,977
1169,394,445
1170,394,450
1171,394,732
1172,395,450
1173,395,444
1174,395,729
1175,395,732
1176,395,445
1177,396,450
1178,396,729
1179,396,732
1180,396,820
1181,397,820
1182,397,729
1183,398,450
1184,398,820
1185,398,729
1186,399,820
1187,399,986
1188,400,2
1189,400,61
1190,400,435
1191,400,436
1192,400,444
1193,400,732
1194,400,445
1195,400,820
1196,400,1143
1197,401,820
1198,401,729
1199,402,427
1200,402,444
1201,402,732
1202,402,445
1203,402,1143
1204,403,450
1205,403,510
1206,403,444
1207,403,729
1208,403,732
1209,403,445
1210,403,881
1211,403,1143
1212,404,1
1213,404,425
1214,404,444
1215,404,445
1216,404,820
1217,404,1143
1218,405,450
1219,405,729
1220,405,732
1221,405,820
1222,406,1
1223,406,444
1224,406,732
1225,406,445
1226,406,1143
1227,407,445
1228,408,427
1229,408,820
1230,409,444
1231,409,445
1232,409,972
1233,410,444
1234,410,450
1235,410,729
1236,410,820
1237,410,732
1238,410,445
1239,411,450
1240,412,425
1241,412,444
1242,412,732
1243,412,445
1244,412,820
1245,412,427
1246,412,1143
1247,413,575
1248,413,820
1249,414,61
1250,414,444
1251,414,427
1252,414,445
1253,415,576
1254,415,445
1255,416,972
1256,417,427
1257,417,444
1258,417,732
1259,417,445
1260,418,427
1261,418,732
1262,418,445
1263,419,427
1264,419,444
1265,419,445
1266,419,820
1267,420,820
1268,420,427
1269,421,427
1270,421,820
1271,422,57
1272,422,444
1273,422,445
1274,422,450
1275,422,729
1276,422,732
1277,422,897
1278,422,1143
1279,423,732
1280,423,445
1281,423,427
1282,424,427
1283,424,440
1284,424,445
1285,424,729
1286,424,732
1287,424,820
1288,425,427
1289,425,444
1290,425,732
1291,425,445
1292,426,440
1293,426,444
1294,426,445
1295,426,450
1296,426,729
1297,426,732
1298,426,779
1299,426,943
1300,426,1143
1301,427,23
1302,427,28
1303,427,444
1304,427,445
1305,427,576
1306,427,729
1307,427,732
1308,427,1143
1309,428,450
1310,428,444
1311,428,729
1312,428,732
1313,429,577
1314,429,440
1315,429,732
1316,429,445
1317,430,427
1318,430,445
1319,431,427
1320,431,445
1321,432,61
1322,432,444
1323,432,729
1324,432,445
1325,433,450
1326,433,732
1327,433,820
1328,434,444
1329,434,445
1330,434,820
1331,435,427
1332,435,444
1333,435,445
1334,436,450
1335,436,729
1336,436,820
1337,436,732
1338,437,450
1339,437,729
1340,437,820
1341,438,576
1342,438,444
1343,438,445
1344,439,435
1345,439,444
1346,439,729
1347,439,820
1348,439,732
1349,439,445
1350,439,553
1351,440,427
1352,440,444
1353,440,445
1354,441,450
1355,441,444
1356,441,729
1357,441,445
1358,442,61
1359,442,444
1360,442,445
1361,442,450
1362,442,729
1363,443,444
1364,443,729
1365,443,445
1366,443,553
1367,444,450
1368,444,729
1369,444,820
1370,445,444
1371,445,445
1372,445,576
1373,446,977
1374,446,577
1375,446,820
1376,447,450
1377,447,729
1378,447,820
1379,447,445
1380,448,445
1381,448,576
1382,448,977
1383,449,577
1384,449,444
1385,449,445
1386,450,450
1387,450,729
1388,450,820
1389,451,577
1390,451,444
1391,451,445
1392,452,444
1393,452,445
1394,452,577
1395,453,427
1396,453,445
1397,454,450
1398,454,820
1399,454,1143
1400,455,427
1401,455,820
1402,455,977
1403,456,450
1404,456,444
1405,456,729
1406,456,445
1407,457,450
1408,457,820
1409,458,577
1410,458,444
1411,458,445
1412,459,427
1413,459,444
1414,459,445
1415,460,427
1416,460,444
1417,460,445
1418,460,818
1419,461,444
1420,461,729
1421,461,445
1422,461,553
1423,462,450
1424,462,444
1425,462,729
1426,462,732
1427,463,450
1428,463,729
1429,463,820
1430,464,444
1431,464,729
1432,464,732
1433,464,450
1434,465,444
1435,465,445
1436,465,450
1437,465,553
1438,465,729
1439,465,820
1440,466,427
1441,466,444
1442,466,445
1443,467,818
1444,467,553
1445,468,579
1446,468,444
1447,468,445
1448,469,450
1449,469,729
1450,469,820
1451,469,732
1452,469,1143
1453,470,427
1454,470,435
1455,470,437
1456,470,444
1457,470,445
1458,470,820
1459,471,450
1460,471,510
1461,471,729
1462,471,820
1463,472,450
1464,472,729
1465,472,820
1466,473,576
1467,473,445
1468,474,450
1469,474,729
1470,474,820
1471,475,450
1472,475,729
1473,475,820
1474,476,450
1475,476,729
1476,477,427
1477,477,444
1478,477,445
1479,478,450
1480,478,820
1481,478,324
1482,479,450
1483,479,729
1484,479,732
1485,480,450
1486,480,820
1487,481,427
1488,481,820
1489,482,427
1490,482,444
1491,482,732
1492,483,427
1493,483,820
1494,484,450
1495,484,444
1496,484,820
1497,484,445
1498,485,450
1499,485,729
1500,485,820
1501,485,732
1502,485,1143
1503,486,668
1504,486,820
1505,487,668
1506,488,668
1507,488,820
1508,489,668
1509,489,820
1510,490,450
1511,490,438
1512,490,732
1513,490,972
1514,491,668
1515,491,820
1516,492,668
1517,492,732
1518,492,820
1519,493,668
1520,493,820
1521,494,668
1522,494,820
1523,495,668
1524,495,820
1525,496,668
1526,497,668
1527,497,438
1528,497,732
1529,498,668
1530,499,668
1531,500,444
1532,500,668
1533,500,732
1534,500,445
1535,501,668
1536,502,668
1537,502,820
1538,503,668
1539,503,820
1540,504,986
1541,505,986
1542,506,1
1543,506,61
1544,506,399
1545,506,400
1546,506,404
1547,506,405
1548,506,62
1549,506,444
1550,506,732
1551,506,445
1552,506,1246
1553,507,450
1554,507,729
1555,507,732
1556,507,820
1557,508,450
1558,508,729
1559,508,820
1560,508,732
1561,509,575
1562,509,444
1563,509,445
1564,509,579
1565,510,577
1566,510,444
1567,510,445
1568,511,820
1569,511,575
1570,512,444
1571,512,445
1572,512,510
1573,512,579
1574,512,820
1575,513,435
